id,filename,current_type,confidence,suggested_types,reason,correct_type,notes,filepath
236,bkg-blu - Copy.jpg,unknown,0.00,,VERY LOW confidence; Generic classification,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\bkg-blu - Copy.jpg
237,bkg-blu.jpg,unknown,0.00,,VERY LOW confidence; Generic classification,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\bkg-blu.jpg
477,file-1KP272Ak5sqmdkifebCJUW-9B16FC30-976A-4383-8CE0-EFE2D8D390E4.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-1KP272Ak5sqmdkifebCJUW-9B16FC30-976A-4383-8CE0-EFE2D8D390E4.jpeg
483,file-2sR1NBF8NjnMYwcotVpQWm-EE0908EE-90DC-4C4E-AB06-ABDAB73237FF.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-2sR1NBF8NjnMYwcotVpQWm-EE0908EE-90DC-4C4E-AB06-ABDAB73237FF.jpeg
489,file-49CuA616JAvNASMj4msifV-D2BABA2A-51FE-4BE7-9C35-096AA89A8019.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-49CuA616JAvNASMj4msifV-D2BABA2A-51FE-4BE7-9C35-096AA89A8019.jpeg
491,file-4vosL9Ky959MvbeayEpgom-BB095037-F910-4E74-9177-7C5DAE3FDCB0.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-4vosL9Ky959MvbeayEpgom-BB095037-F910-4E74-9177-7C5DAE3FDCB0.jpeg
493,file-5JQbpLS5Uq7a1fNmwp9jDM-2C042925-F048-49D0-A1F7-BD94DA34BDC3.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-5JQbpLS5Uq7a1fNmwp9jDM-2C042925-F048-49D0-A1F7-BD94DA34BDC3.jpeg
500,file-7mUFa7MhzZ4wejwYtKCiNQ-5FC00237-07F2-4489-95BA-F2E42B765EE7.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-7mUFa7MhzZ4wejwYtKCiNQ-5FC00237-07F2-4489-95BA-F2E42B765EE7.jpeg
505,file-94JmZB1Hoqeb9kup9Bx3WA-5D468432-991E-47B4-BE35-B6967E42D4BC.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-94JmZB1Hoqeb9kup9Bx3WA-5D468432-991E-47B4-BE35-B6967E42D4BC.jpeg
513,file-B9yYYV6XqNWaob3j27ASBc-B12480D6-01BA-42B6-8989-EA17338D0A63.jpeg,unknown,0.00,,VERY LOW confidence; Generic classification; Cryptic filename - needs content review,,,C:/Users/kjfle/Documents/Organized_V2\Review_Required\Unclassified\file-B9yYYV6XqNWaob3j27ASBc-B12480D6-01BA-42B6-8989-EA17338D0A63.jpeg
